# From https://ui.adsabs.harvard.edu/abs/2021A%26A...652A..67H/abstract Fig 7.
mas,mags
50.122850122850124, 15.608763693270735
53.8083538083538, 16.003129890453835
75.1842751842752, 17.065727699530512
100.00000000000001, 17.416275430359935
110.8108108108108, 16.98904538341158
125.06142506142507, 16.156494522691705
130.46683046683046, 16.02503912363067
150.12285012285014, 15.707355242566509
175.42997542997543, 15.959311424100155
200.24570024570025, 17.043818466353677
250.3685503685504, 17.72300469483568
274.6928746928747, 17.503912363067293
